film_id,title,director,year,country,genre,film_type,category,actors,alternate_titles
4ce2b7462bc5f,ZASTAVA ILYICHA,,1963,USSR,Drama,Film,Fiction,Vladimir Popov::N. Cubenko::Stanislav Liubshin,MNE DVADTSAT LET::IL'ICH'S GATE::MNE DVADSTAT LET::I AM TWENTY
4ce2b74668266,Modern Romance,,1981,USA,Comedy,Film,Fiction,Albert Brooks::Kathryn Harrold::Tyann Means,
4ce2b746843f8,MOI DRUG IVAN LAPSHIN,Alexei German,1986,USSR,Drama,Film,Fiction,V. Kuzin::Andrei Boltnev::Nina Ruslanova,MY FRIEND IVAN LAPSHIN
4ce2b7469b3b2,Il MOMENTO DELLA VERITÀ,Francesco Rosi,1965,Spain::Italy,Drama,Film,Fiction,Miguel Mateo Miguelin::José Gomez Sevillano::Pedro Basauri Pedrucho,The MOMENT OF TRUTH
4ce2b747d6ee5,BHARAT MATA,Mehboob,1957,India,Melodrama::Musical,Film,Fiction,Nargis::Sunil Dutt::Rajendra Kumar,MOTHER INDIA
4ce2b747d77b5,The Mothering Heart,D.W. Griffith,1913,USA,,Film,Fiction,Lillian Gish::Walter Miller::Miss Pierce,
4ce2b748cc554,DE NÅEDE FÆRGEN,Carl Th. Dreyer,1948,Denmark,Documentary,Film,Non Fiction,Joseph Koch,THEY CAME TO A FERRY::THEY REACHED THE FERRY::DE NÅEDE FAERGEN::THEY CAUGHT THE FERRY
4ce2b7491753f,Nanook of the North,,1922,USA,Actuality film,Film,Non Fiction,Frances Flaherty,Nanook
4ce2b7492c4c0,NARAYAMA BUSHI-KÔ,Shohei Imamura,1983,Japan,Comedy::Drama,Film,Fiction,Tokyo Concert Orchestra::Ken Ogata::Sumiko Sakamoto,The BALLAD OF NARAYAMA
4ce2b749a2cbb,A Movie,Bruce Conner,1958,USA,Anthology,Film,Fiction,,
4ce2b749c5580,MOZNOSTI DIALOGU,,1982,Czechoslovakia,Animation,Film,Fiction,,DIMENSIONS OF DIALOGUE::POSSIBILITIES OF DIALOGUE
4ce2b749e8ee3,MUGHAL-E-AZAM,,1960,India,Period drama,Film,Fiction,Prithviraj Kapoor::Madhubala::Dilip Kumar,The MOGUL::The GREAT MOGUL
4ce2b74a0e043,El Mumia,,1970,Egypt,Historical drama,Film,Fiction,Ahmed Marei::Zouzou Hamdi el-Hakim::Ahmed Hegazi,Al Momia::The Night of Counting the Years::La Momie::Al MUMIYA
4ce2b74a61caf,The Music Box,James Parrott,1932,USA,Comedy,Film,Fiction,Stan Laurel::Oliver Hardy::Gladys Gale,
4ce2b74ab6098,My Dinner with André,Louis Malle,1981,USA,Drama,Film,Fiction,Wallace Shawn::André Gregory::Jean Lenauer,Last Picture Show
4ce2b74b1edea,Near Dark,Kathryn Bigelow,1987,USA,Horror,Film,Fiction,Adrian Pasdar::Jenny Wright::Lance Henriksen,
4ce2b74b3a87e,NE GORYUY,Georgi Danelia,1969,USSR,Comedy,Film,Fiction,Vakhtang Kikabidze::Sergo Zakariadze::Anastasia Virtinskaya,CHEER UP::DON'T GRIEVE::DON'T WORRY::DON'T DESPAIR
4ce2b74b5f07e,NEOKONCHENNAYA PYESA DLYA MEKHANICHESKOVO PIANINO,Nikita Mikhalkov,1976,USSR,Drama,Film,Fiction,Aleksandr Kalyagin::Elena Solovei::Evgenia Glushenko,An UNFINISHED PIECE FOR A PLAYER PIANO::PLATANOV::The MECHANICAL PIANO::An UNFINISHED PLAY FOR A PLAYER PIANO::An UNFINISHED PIECE FOR MECHANICAL PIANO::UNFINISHED PIECES FOR MECHNICAL PIANO::Neokonchennaya pyesa dlya mekhanicheskogo pianino
4ce2b74c67bc2,New York New York,,1977,USA,Musical,Film,Fiction,Liza Minnelli::Robert De Niro::Lionel Stander,
4ce2b74c90598,NICHT LÖSCHBARES FEUER,Harun Farocki,1968,Federal Republic of Germany,Documentary,Film,Non Fiction,,INEXTINGUISHABLE FIRE::[UNEXTINGUISHABLE FIRE]
4ce2b74c919fc,"Nicht versöhnt oder Es hilft nur Gewalt, wo Gewalt herrscht",Jean-Marie Straub,1965,Federal Republic of Germany,Drama,Film,Fiction,Heinrich Hargesheimer::Carlheinz Hargesheimer::Martha Ständer,"Not Reconciled, or Only Violence Helps Where Violence Rules::Nicht versöhnt::Unreconciled::Not Reconciled"
4ce2b74cf3c14,NIHONGDENG XIA DE SHAOBING,Wang Ping::Ge Xin,1964,People's Republic of China,Drama,Film,Fiction,Xu Linge::Gong Zipi::Ma Xueshi,SENTINELS UNDER THE NEON LIGHTS
4ce2b74d0f68c,Nine½ Weeks,,1985,USA,Drama,Film,Fiction,Mickey Rourke::Kim Basinger::Margaret Whitton,Nine 1/2 Weeks::9½ Weeks::Nine and a Half Weeks
4ce2b74d352b2,NINGEN NO JOKEN  PART 1,,1959,Japan,Drama,Film,Fiction,Tatsuya Nakadai::Michiyo Aratama::Sô Yamamura,NO GREATER LOVE::The HUMAN CONDITION::The HUMAN CONDITION: NO GREATER LOVE::The WAR AND A MAN
4ce2b74d355b0,NINGEN NO JOKEN  PART 3,,1960,Japan,Drama,Film,Fiction,Tatsuya Nakadai::Michiyo Aratama::Hideko Takamine,The HUMAN CONDITION: A SOLDIER'S PRAYER::A SOLDIER'S PRAYER
4ce2b74d43382,NIPPON-KOKU FURUYASHIKI-MURA,,1982,Japan,Documentary,Film,Non Fiction,,A JAPANESE VILLAGE: FURUYASHIKI::FURUYASHIKI HAMLET
4ce2b74e11d41,Nosferatu,F.W. Murnau,1922,Germany,Horror,Film,Fiction,Max Schreck::Alexander Granach::Gustav von Wangenheim,Nosferatu  Eine Symphonie des Grauens::Eine Nacht des Grauens::Nosferatu the Vampire::Nosferatu - A Symphony of Horrors::Die Zwölfte Stunde
4ce2b74e17b2b,NOSTALGHIA,Andrei Tarkovsky,1983,Italy::USSR,Drama,Film,Fiction,Oleg Yankovsky::Erland Josephson::Sergio Fiorentini,NOSTALGIA
4ce2b74e183ef,(Nostalgia),Hollis Frampton,1971,USA,Artists' Moving Image,Film,,Michael Snow,Hapax Legomena (Nostalgia)
4ce2b74e4ef08,Le NOTTI BIANCHE,Luchino Visconti,1957,France::Italy,Drama,Film,Fiction,Maria Schell::Marcello Mastroianni::Jean Marais,NOCHES BLANCAS::NUITS BLANCHES::SLEEPLESS NIGHTS::The WHITE NIGHTS::WEISSE NÄCHTE
4ce2b74e74eed,"Now, Voyager",Irving Rapper,1942,USA,Melodrama::Romance,Film,Fiction,Bette Davis::Paul Henreid::Claude Rains,Untold Want for Songs of Parting
