actor,films,film_votes,votes_per_film,directors
Jørgen Leth,1,1,1.00,Jørgen Leth/Lars von Trier
José Ferrer,1,1,1.00,Otto Preminger
José Rodriguez,1,1,1.00,Tomás Gutiérrez Alea
José Sazatornil,1,1,1.00,José Luis Cuerda
Josef Bierbichler,1,1,1.00,Werner Herzog
Josef Fiala,1,1,1.00,Jan Svankmajer
Joseph Calleia,1,1,1.00,Edward F Cline
Joseph Cawthorn,1,1,1.00,Victor Halperin
Joseph Gordon-Levitt,1,1,1.00,Christopher Nolan
Joseph Koch,1,1,1.00,Carl Theodor Dreyer
Joshua Leonard,1,1,1.00,Daniel Myrick/Eduardo Sánchez
Josiane Balasko,1,1,1.00,Andre Techine
Jozef Króner,1,1,1.00,Jan Kadar
Judge Reinhold,1,1,1.00,Amy Heckerling
Judi Dench,1,1,1.00,Derek Jarman
Judith Anderson,1,1,1.00,Raoul Walsh
Judith Bronowski,1,1,1.00,Charles/Ray Earnes
Judith Vittet,1,1,1.00,Marc Caro/Jean-Pierre Jeunet
Juhani Niemelä,1,1,1.00,Aki Kaurismäki
Julia Roberts,1,1,1.00,Steven Soderbergh
Julian Firth,1,1,1.00,Alan Clarke
Julie Bovasso,1,1,1.00,Peter Whitehead
Julie Carmen,1,1,1.00,John Cassavetes
Julie Dreyfus,1,1,1.00,Quentin Tarantino
Julie Kavner,1,1,1.00,Woody Allen
Juliet King,1,1,1.00,Ken Russell
Juliet Stevenson,1,1,1.00,Peter Greenaway
Julieta Egurrola,1,1,1.00,Arturo Ripstein
Juliette Lewis,1,1,1.00,Oliver Stone
Julio Cedillo,1,1,1.00,Tommy Lee Jones
Julio Pinheiro,1,1,1.00,Werner Herzog
Jung Yumi,1,1,1.00,Hong Sangsoo
Junko Fuji,1,1,1.00,Tai Kat
Junko Miyashita,1,1,1.00,Ogawa Shinsuke
Jürgen Prochnow,1,1,1.00,Wolfgang Petersen
Kabari Choudhary,1,1,1.00,Ritwik Ghatak
Kader Affak,1,1,1.00,Tarek Teguia
Kader Chaatouf,1,1,1.00,Bruno Dumont
Kais Nashef,1,1,1.00,Hany Abu-Assad
Kan-Ichi Omiya,1,1,1.00,Teshigahara Hiroshi
Kannikar Narong,1,1,1.00,Apichatpong Weerasethakul
Kantaro Suga,1,1,1.00,Terayama Shuji
Kåre Hedebrant,1,1,1.00,Tomas Alfredson
Kareem Abdul-Jabbar,1,1,1.00,Jim Abrahams/David & Jerry Zucker
Karen Morley,1,1,1.00,Howard Hawks
Karen Steele,1,1,1.00,Budd Boetticher
Karin Dor,1,1,1.00,Antonio Pietrangeli
Karin Thome,1,1,1.00,Rudolf Thome
Karin Viard,1,1,1.00,Laurent Cantet
Karl John,1,1,1.00,Peter Lorre
Kasu Asfaw,1,1,1.00,Haile Gerima
Kate Ashfield,1,1,1.00,Edgar Wright
Kate Beckinsale,1,1,1.00,Whit Stillman
Kate Hardie,1,1,1.00,Mike Hodges
Kate Harrington,1,1,1.00,Paul Newman
Katherine Murphy,1,1,1.00,Fernand Léger/Dudley Murphy
Kathleen Mcdermott,1,1,1.00,Lynne Ramsay
Kathleen Quinlan,1,1,1.00,Jonathan Mostow
Kathleen Turner,1,1,1.00,Lawrence Kasdan
Kathryn Grayson,1,1,1.00,George Sydney
Kathryn Harrold,1,1,1.00,Albert Brooks
Kathryn Sannella,1,1,1.00,Jon Jost
Kathy Page,1,1,1.00,Philip Trevelyan
Katie Jarvis,1,1,1.00,Andrea Arnold
Katrin Sass,1,1,1.00,Wolfgang Becker
Katya Ladan,1,1,1.00,François Girard
Kay Johnson,1,1,1.00,Frank Capra
Kaya Scodelario,1,1,1.00,Andrea Arnold
Kazunari Ninomiya,1,1,1.00,Clint Eastwood
Kazuo Kitamura,1,1,1.00,Imamura Shohei
Kazuo Miyahara,1,1,1.00,Teshigahara Hiroshi
Keefe Brasselle,1,1,1.00,Ida Lupino
Kees Brusse,1,1,1.00,Wim Verstappen
Keiko Niikata,1,1,1.00,Terayama Shuji
Keira Knightley,1,1,1.00,Joe Wright
Keith Allen,1,1,1.00,Michael Winterbottom
Keith Carradine,1,1,1.00,Robert Aldrich
Keith David,1,1,1.00,John Carpenter
Ken Gampu,1,1,1.00,Cornel Wilde
Ken Wahl,1,1,1.00,Philip Kaufman
Kenji Tokitsu,1,1,1.00,Chris Marker
Ketevan Bochorishvilli,1,1,1.00,Rezo Chkheidze
Keve Hjelm,1,1,1.00,Bo Widerberg
Kevin Breznahan,1,1,1.00,Debra Granik
Kevin Collins,1,1,1.00,Derek Jarman
Kevin Kline,1,1,1.00,Ang Lee
Kevin McCarthy,1,1,1.00,Lina Wertmüller
Kevin O'Connor,1,1,1.00,John D Hancock
Khodjom Ovezgnelenov,1,1,1.00,Hadzhakuli Narliev
Khommat Moullik,1,1,1.00,Hadzhakuli Narliev
Kierston Wareing,1,1,1.00,Andrea Arnold
Kika Markham,1,1,1.00,François Truffaut
Kim Basinger,1,1,1.00,Adrian Lyne
Kim Greist,1,1,1.00,Michael Mann
Kim Hye-ja,1,1,1.00,Bong Joon-ho
Kim Kashkashian,1,1,1.00,Theodoros Angelopoulos
Kim Kyu-chul,1,1,1.00,Im Kwon-taek
Kim Myeong-kon,1,1,1.00,Im Kwon-taek
Kim Page,1,1,1.00,Philip Trevelyan
Kim Sung-nyu,1,1,1.00,Im Kwon-taek
Kim Yu-seok,1,1,1.00,Kim Ki Duk
Kirk Hammett,1,1,1.00,"Joe Berlinger, Bruce Sinofsky"
Kirsi Tykkyläinen,1,1,1.00,Aki Kaurismäki
Kitty Winn,1,1,1.00,Jerry Schatzberg
Klára Issová,1,1,1.00,Jan Svankmajer
Klári Tolnay,1,1,1.00,Istvan Szabo
Klaus Wennemann,1,1,1.00,Wolfgang Petersen
Klaus Wyborny,1,1,1.00,Klaus Wyborny
Kô Nishimura,1,1,1.00,Imamura Shohei
Koji Mitsui,1,1,1.00,Hani Susumi
Koji Tsuruta,1,1,1.00,Kosaku Yamashita
Kôji Yakusho,1,1,1.00,Kurosawa Kiyoshi
Konstantin Finn,1,1,1.00,Boris Barnet
Koshiro Matsumoto,1,1,1.00,Inagaki Hiroshi
Kourosh Afsharpanah,1,1,1.00,Abbas Kiarostami
Kristen Miller,1,1,1.00,Trey Parker
Kristin Griffith,1,1,1.00,Woody Allen
Kristina Söderbaum,1,1,1.00,Veit Harlan
Krystyna Mikolajewska,1,1,1.00,Jerzy Kawalerowicz
Kumiko Aso,1,1,1.00,Kiyoshi Kurosawa
Kuniko Ishii,1,1,1.00,Hani Susumi
Kurt Gerron,1,1,1.00,Josef von Sternberg
Kusum Bhagawat,1,1,1.00,Vishnupant Govind Damle/Sheikh Fattelal
Kwon Mi-hye,1,1,1.00,Kim Ki-young
L. Dedinstev,1,1,1.00,Vsevolod Pudovkin
Laraine Day,1,1,1.00,Alfred Hitchcock
Larissa Guseyeva,1,1,1.00,Eldar Ryazanov
Larry Coryell,1,1,1.00,Maurice Pialat
Larry Fessenden,1,1,1.00,Kelly Reichardt
Laura Antonelli,1,1,1.00,Luchino Visconti
Laura Betti,1,1,1.00,Bernardo Bertolucci
Laura Fanning,1,1,1.00,Jean Eustache
Laura Linney,1,1,1.00,Peter Weir
Laura Monaghan,1,1,1.00,Phillip Noyce
Lawrence Yong,1,1,1.00,Eric Koo
Léa Bridarolli,1,1,1.00,Lucile Hadzihalilovic
Lee Jung-hun,1,1,1.00,Jang Sun-woo
Lee Seong-jae,1,1,1.00,Bong Joon-ho
Lee Seung-yeon,1,1,1.00,Kim Ki-Duk
Lee Sook-yin,1,1,1.00,John Cameron Mitchell
Lee Sunkyun,1,1,1.00,Hong Sangsoo
Lee Young-ran,1,1,1.00,Jang Sun-woo
Lefteris Halkiadakis,1,1,1.00,Theodoros Angelopoulos
Leila Abashidze,1,1,1.00,Revas Chkheidze
Leila McMillan,1,1,1.00,Andrew Kötting
Lemuel Galman,1,1,1.00,Raya Martin
Lena Nyman,1,1,1.00,Vilgot Sjöman
Léna Skerla,1,1,1.00,Louis Malle
Lennart Malmer,1,1,1.00,Bo Widerberg
Lenore Kandel,1,1,1.00,Kenneth Anger
Leo Penn,1,1,1.00,Ida Lupino
Leon Errol,1,1,1.00,Edward F Cline
Léon Larive,1,1,1.00,Jean Renoir
Léon Mathot,1,1,1.00,Jean Epstein
Leonardo Cimino,1,1,1.00,David Lynch
Leonid Kuravlyov,1,1,1.00,Aleksandr Mitta
Leonor Oliveira,1,1,1.00,Manoel de Oliveira
Lesley Manville,1,1,1.00,Mike Leigh
Leslie Banks,1,1,1.00,Laurence Olivier
Leymah Gbowee,1,1,1.00,Gini Reticker
Li Jian,1,1,1.00,Yonggang Wu
Liam Neeson,1,1,1.00,Steven Spielberg
Liana Trouché,1,1,1.00,Werner Schroeter
Libgart Schwarz,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Lidia Fedoseyeva-Shukshina,1,1,1.00,Vasili Shukshin
Ligia Branice,1,1,1.00,Walerian Borowczyk
Lika Nevolina,1,1,1.00,Alexey Balabanov
Lili Taylor,1,1,1.00,Abel Ferrara
Lilia Prado,1,1,1.00,Luis Buñuel
Lilith Ungerer,1,1,1.00,Rainer Werner Fassbinder
Lillette Dubey,1,1,1.00,Mira Nair
Lim Giong,1,1,1.00,Hou Hsiao-hsien
Lin Hsiu-ling,1,1,1.00,Hsiao-hsien Hou
Lin Moyu,1,1,1.00,Lee Sun-fung
Lina Leandersson,1,1,1.00,Tomas Alfredson
Linda Hunt,1,1,1.00,Peter Weir
Lindsay Beamish,1,1,1.00,John Cameron Mitchell
Lindsay Crouse,1,1,1.00,Philippe Mora
Linnea Heacock,1,1,1.00,Milos Forman
Lisa Ray,1,1,1.00,Deepa Mehta
Lise Delamare,1,1,1.00,Jean Renoir
Lissa Balera,1,1,1.00,Djibril Diop Mambéty
Lita Milan,1,1,1.00,Arthur Penn
Little Richard,1,1,1.00,William Klein
Liu Chia-hui,1,1,1.00,Kar-leung Lau
Lloyd Bridges,1,1,1.00,Fred Zinemann
Lo Lieh,1,1,1.00,Kar-leung Lau
Lolita Rodriguez,1,1,1.00,Lino Brocka
Lon Chaney,1,1,1.00,Tod Browning
Louis Jouvet,1,1,1.00,Marcel Carné
Louis Prima,1,1,1.00,Walt Disney Production
Louise Goodall,1,1,1.00,Ken Loach
Lu Yi-ching,1,1,1.00,Tsai Ming-Liang
Lubna Azabal,1,1,1.00,Hany Abu-Assad
Luc Moullet,1,1,1.00,Luc Moullet/Antonietta Pizzorno
Lucia Muñoz,1,1,1.00,Arturo Ripstein
Luciana Nissim,1,1,1.00,Jean-Marie Straub/Danièle Huillet
Lucie Mannheim,1,1,1.00,Alfred Hitchcock
Lucie Miville,1,1,1.00,André Forcier
Lucien Bataille,1,1,1.00,Germaine Dulac
Lucien Sénemaud,1,1,1.00,Jean Genet
Lucy Davis,1,1,1.00,Edgar Wright
Ludmilla Semyonova,1,1,1.00,Abram Room
Ludvík Sváb,1,1,1.00,Jan Svankmajer
Luis Hostalot,1,1,1.00,Pedro Almodóvar
Luísa Marques,1,1,1.00,José Álvaro Morais
Luiz Linhares,1,1,1.00,Rogério Sganzerla
Lukas Miko,1,1,1.00,Michael Haneke
Luke Wilson,1,1,1.00,Mike Judge
Lydia Smirnova,1,1,1.00,Elem Klimov
Lyndon Brook,1,1,1.00,Lewis Gilbert
Lynn Cohen,1,1,1.00,Louis Malle
Lynne Frederick,1,1,1.00,Saul Bass
Lyudmila Savelyeva,1,1,1.00,Sergei Solovyov
M. Akhmadiev,1,1,1.00,Shaken Aimanov
Ma Xueshi,1,1,1.00,Wáng Píng
Madeleine Carroll,1,1,1.00,Alfred Hitchcock
Madeleine Desdevises,1,1,1.00,Jacques Doillon
Madeleine Robinson,1,1,1.00,Jean Grémillon
Madeleine Stowe,1,1,1.00,Michael Mann
Madge Kirby,1,1,1.00,D.W. Griffith
Madhuri Dixit,1,1,1.00,Anil Mehta
Mads Mikkelsen,1,1,1.00,Susan Brier
Magda Maderová,1,1,1.00,Gustav Machaty
Magda Sonja,1,1,1.00,Friedrich Feher
Magda Szubanski,1,1,1.00,Chris Noonan
Magda Vásáryová,1,1,1.00,Juraj Jakubisko
Maggie Smith,1,1,1.00,James Ivory
Mahmoud el-Milligi,1,1,1.00,Youssef Chahine
Mahmoud Kalteh,1,1,1.00,Babak Jalali
Mai Zetterling,1,1,1.00,Alf Sjöberg
Maïa Morgenstern,1,1,1.00,Lucian Pintilie
Maiko Kawakami,1,1,1.00,Kitano Takeshi
Maj-Britt Nilsson,1,1,1.00,Ingmar Bergman
Maka Kotto,1,1,1.00,Raoul Peck
Makiko Esumi,1,1,1.00,Koreeda Hirokazu
Makoto Ashikawa,1,1,1.00,Kitano Takeshi
Mal Waldron,1,1,1.00,Shirley Clarke
Mala Powers,1,1,1.00,Ida Lupino
Malcolm Bates,1,1,1.00,Margaret Tait
Malcolm Dome,1,1,1.00,Sacha Gervasi
Malcolm McLaren,1,1,1.00,Julian Temple
Malgorzata Zabkowska,1,1,1.00,Krzysztof Kieslowski
Malik Gathev,1,1,1.00,Pirjo Honkasalo
Mandy Patinkin,1,1,1.00,Rob Reiner
Manfredo Colassanti,1,1,1.00,Nelson Pereira dos Santos
Manisha Koirala,1,1,1.00,Mani Ratnam
Manuel Alexandre,1,1,1.00,Luis García Berlanga
Marc Rioufol,1,1,1.00,Jacques Nolot
Marcel Achard,1,1,1.00,René Clair
Marcelino Yanahuaya,1,1,1.00,Jorge Sanjinés
Marcella Michelangeli,1,1,1.00,Paolo and Vittorio Taviani
Marcello Melio,1,1,1.00,Pier Paolo Pasolini
Marcos Hernández,1,1,1.00,Carlos Reygadas
Margaret Rutherford,1,1,1.00,Frank Launder
Margaret Whitton,1,1,1.00,Adrian Lyne
Margarete Schön,1,1,1.00,Fritz Lang
Margareth Clement,1,1,1.00,Philippe Garrel
Margarita Lozano,1,1,1.00,Paolo and Vittorio Taviani
Margot Kidder,1,1,1.00,Brian De Palma
Marguerite Churchill,1,1,1.00,Raoul Walsh
Marguerite Duras,1,1,1.00,Marguerite Duras
Marguerite Harrison,1,1,1.00,Merian C. Cooper/Ernest B. Schoedsack
Mari Aldon,1,1,1.00,Raoul Walsh
Maria Bonnevie,1,1,1.00,Andrei Zvyagintsev
Maria Bosco,1,1,1.00,Ettore Scola
Maria Calì,1,1,1.00,Gianni di Gregorio
Maria Callas,1,1,1.00,Pier Paolo Pasolini
Maria Lipkina,1,1,1.00,Pedro Costa
Maria Pakulnis,1,1,1.00,Krzysztof Kieslowski
Maria Perschy,1,1,1.00,Howard Hawks
Maria Schell,1,1,1.00,Luchino Visconti
Maria Simon,1,1,1.00,Wolfgang Becker
Mariachi Uclatlan,1,1,1.00,John Flynn
Mariah Carey,1,1,1.00,Lee Daniels
Mariangela Melato,1,1,1.00,Lina Wertmuller
Marianne Koch,1,1,1.00,Sergio Leone
Maricel Álvarez,1,1,1.00,Alejandro González Iñárritu
Marie Epstein,1,1,1.00,Jean Epstein
Marie Gladys,1,1,1.00,Ruy Guerra
Marie-Christine Friedrich,1,1,1.00,Mia Hansen-Løve
Marie-France Pisier,1,1,1.00,Alain Robbe-Grillet
Marie-Pascale Elfman,1,1,1.00,Richard Elfman
Mariko Kaga,1,1,1.00,Shinoda Mashiro
Marilù Tolo,1,1,1.00,Giulio Questi
Marilyn Chambers,1,1,1.00,Artie Mitchell/Jim Mitchell
Marilyne Canto,1,1,1.00,Dominique Cabrera
Marina Cacciotti,1,1,1.00,Gianni di Gregorio
Marinette Fournis,1,1,1.00,Jean Epstein
Marino Masè,1,1,1.00,Jean-Luc Godard
Mario Barroso,1,1,1.00,Manoel de Oliveira
Mário Peixoto,1,1,1.00,Mario Peixoto
Marion Bailey,1,1,1.00,Mike Leigh
Marion Eaton,1,1,1.00,Curt McDowell
Marisa Mell,1,1,1.00,Mario Bava
Marise Dauvray,1,1,1.00,Abel Gance
Marjorie Cottreel,1,1,1.00,Bruno Dumont
Marjorie Reynolds,1,1,1.00,Fritz Lang
Mark Borchardt,1,1,1.00,Chris Smith
Mark Lee,1,1,1.00,Peter Weir
Markku Peltola,1,1,1.00,Aki Kaurismäki
Marsha Hunt,1,1,1.00,Dalton Trumbo
Martha Sleeper,1,1,1.00,Fred Guiol
Martin Compston,1,1,1.00,Ken Loach
Martin Hall,1,1,1.00,Errol Morris
Martin Shannon,1,1,1.00,James Fotopoulos
Martinus Miroto,1,1,1.00,Garin Nugroho
Maru Valdivielso,1,1,1.00,Monte Hellman
Mary Alice,1,1,1.00,Charles Burnett
Mary Duncan,1,1,1.00,FW Murnau
Mary Philbin,1,1,1.00,Paul Leni
Mary Ure,1,1,1.00,Brian G Hutton
Maryam Keyhan,1,1,1.00,Mohsen Makhmalbaf
Masahiko Tsugawa,1,1,1.00,Nagisa Oshima
Masahiro Motoki,1,1,1.00,Yôjirô Takita
Masai Kikuchi,1,1,1.00,Ogawa Shinsuke
Masako Natsuki,1,1,1.00,Shimizu Hiroshi
Masaomi Kondo,1,1,1.00,Imamura Shohei
Masatoshi Nagase,1,1,1.00,Jim Jarmusch
Masayuki Shionoya,1,1,1.00,Paul Schrader
Masumi Harukawa,1,1,1.00,Imamura Shohei
Matt Stone,1,1,1.00,Trey Parker
Matthew Baidoo,1,1,1.00,Isaac Julien
Matthew Barry,1,1,1.00,Bernardo Bertolucci
Matthew Goode,1,1,1.00,Woody Allen
Maury Chaykin,1,1,1.00,Atom Egoyan
Max Davidson,1,1,1.00,Fred Guiol
Max Kerlow,1,1,1.00,Paul Leduc
Max Nadler,1,1,1.00,Max Ophüls
Maya Banno,1,1,1.00,Katsuhito Ishii
Maya Rudolph,1,1,1.00,Mike Judge
Meg Foster,1,1,1.00,John Carpenter
Mehdi Nekui,1,1,1.00,Abbas Kiarostami
Mehmet Aslantug,1,1,1.00,Omer Kavur
Mel Ferrer,1,1,1.00,King Vidor
Mel Harris,1,1,1.00,Scott McGehee/David Siegel
Melaku Mekonnen,1,1,1.00,Haile Gerima
Melanie Mayron,1,1,1.00,Costa-Gavras
Melike Demirag,1,1,1.00,Yilmaz Güney
Melinda Mcdowell,1,1,1.00,Curt McDowell
Melissa Leo,1,1,1.00,Courtney Hunt
Melvil Poupaud,1,1,1.00,Raúl Ruiz
Mervyn Johns,1,1,1.00,Basil Dearden
Mia Bendixsen,1,1,1.00,Martin Scorsese
Michael Aspel,1,1,1.00,Peter Watkins
Michael Bloomberg,1,1,1.00,Albert Maylses
Michael Bowen,1,1,1.00,Quentin Tarantino
Michael Chekhov,1,1,1.00,Alfred Hitchcock
Michael Dante,1,1,1.00,Samuel Fuller
Michael Douglas,1,1,1.00,David Fincher
Michael Gambon,1,1,1.00,Peter Greenaway
Michael Huddleston,1,1,1.00,Arthur Penn
Michael Moriarty,1,1,1.00,Clint Eastwood
Michael Sacks,1,1,1.00,George Roy Hill
Michael Tucker,1,1,1.00,Woody Allen
Michael Williams,1,1,1.00,Daniel Myrick/Eduardo Sánchez
Michel Côté,1,1,1.00,André Forcier
Michel Remaudeau,1,1,1.00,Ousmane Sembène
Michel Serrault,1,1,1.00,Claude Sautet
Michel Vitold,1,1,1.00,Jean Renoir
Michele Cossu,1,1,1.00,Vittorio De Seta
Micheline Bezançon,1,1,1.00,Marcel Hanoun
Michelle Valley,1,1,1.00,Yorgos Lanthimos
Michi Higashi,1,1,1.00,Misumi Kenji
Michiko Saga,1,1,1.00,Tomu Uchida
Mick Ford,1,1,1.00,Alan Clarke
Mickey Curtis,1,1,1.00,Kon Ichikawa
Mickey Dolenz,1,1,1.00,Bob Rafelson
Mickey Mouse,1,1,1.00,Walt Disney/Ub Iwerks
Mickey Rourke,1,1,1.00,Adrian Lyne
Mickhail Tsaryov,1,1,1.00,Yuliya Solntseva
Mieko Takamine,1,1,1.00,Naruse Mikio
Mikhail Nazvanov,1,1,1.00,Grigori Kozintsev
Miki Nakatani,1,1,1.00,Hideo Nakata
Miklós Gábor,1,1,1.00,Istvan Szabo
Miles Halliwell,1,1,1.00,Kevin Brownlow
Miranda Richardson,1,1,1.00,Neil Jordan
Mircea Daneliuc,1,1,1.00,Mircea Daneliuc
Mireille Balin,1,1,1.00,Jean Grémillon
Mirella Pascual,1,1,1.00,Pablo Stoll/Juan Pablo Rebella
Mirlan Abdykalykov,1,1,1.00,Aktan Arym Kubat
Miss Gouri,1,1,1.00,Vishnupant Govind Damle/Sheikh Fattelal
Miss Pierce,1,1,1.00,D.W. Griffith
Misty Upham,1,1,1.00,Courtney Hunt
Mita Vashisht,1,1,1.00,Mani Kaul
Mitchell Lewis,1,1,1.00,Alla Nazimova
Mitsuko Baisho,1,1,1.00,Kurosawa Akira
Mitsunori Isaki,1,1,1.00,Kurosawa Akira
Miyuki Kuwano,1,1,1.00,Nagisa Oshima
Mohamed Akhzam,1,1,1.00,Alejandro González Iñárritu
Mohammad Zamani,1,1,1.00,Sohrab Shahid-Saless
Mohsen Ramezani,1,1,1.00,Majid Majidi
Moira Kelly,1,1,1.00,James Gray
Mojgane Faramarzi,1,1,1.00,Jafar Panahi
Molly Ringwald,1,1,1.00,Jean-Luc Godard
Momoko Kochi,1,1,1.00,Ishirô Honda
Mona Washbourne,1,1,1.00,John Schlesinger
Monica Borchardt,1,1,1.00,Chris Smith
Monte Blue,1,1,1.00,Ernst Lubitsch
Moon So-ri,1,1,1.00,Lee Chang-dong
Moore Marriott,1,1,1.00,Marcel Varnel
Mos Def,1,1,1.00,Garth Jennings
Mostafa Tari,1,1,1.00,Abbas Kiarostami
Mostéfa Djadjam,1,1,1.00,Werner Schroeter
Mr. Page,1,1,1.00,Philip Trevelyan
Muhamad Bacri,1,1,1.00,Amos Gitai
Muhar Biswas,1,1,1.00,Mani Kaul
Muriel Pavlow,1,1,1.00,Lewis Gilbert
Murray Pomerance,1,1,1.00,R Bruce Elder
Myriam Boyer,1,1,1.00,Chantal Akerman
Myrtle Pernando,1,1,1.00,Lester James Peries
N. Dolgor,1,1,1.00,I. Nyamgavaa
N. Drais,1,1,1.00,Mohamed Zinet
Nabil Ismail,1,1,1.00,Maroun Baghdadi
Nade Dieu,1,1,1.00,Jean-Luc Godard
Nadia Sibirskaïa,1,1,1.00,Dimitri Kirsanoff
Nadine Valence,1,1,1.00,Kenneth Anger
Naglaa Fathi,1,1,1.00,Mohammed Khan
Nagwa Ibrahim,1,1,1.00,Youssef Chahine
Nanako Matsushima,1,1,1.00,Hideo Nakata
Nancy Carroll,1,1,1.00,Ernst Lubitsch
Nancy Kovack,1,1,1.00,Don Chaffey
Nandita Das,1,1,1.00,Mehreen Jabbar
Nargess Mamizadeh,1,1,1.00,Jafar Panahi
Narutoshi Hayashi,1,1,1.00,Mizoguchi Kenji
Naseeruddin Shah,1,1,1.00,Mira Nair
Natar Ungalaaq,1,1,1.00,Zacharias Kunuk
Natascha McElhone,1,1,1.00,Steven Soderbergh
Nate Hardman,1,1,1.00,Billy Woodberry
Nathaniel Brown,1,1,1.00,Gaspar Noe
Nazan Kirilmis,1,1,1.00,Nuri Bilge Ceylan
Nazareno Timpano,1,1,1.00,Michelangelo Frammartino
Neil Mukesh,1,1,1.00,Sriram Raghavan
Nell Campbell,1,1,1.00,Derek Jarman
Nelly Frijda,1,1,1.00,Marleen Gorris
Nelson Xavier,1,1,1.00,Ruy Guerra
Nick Mason,1,1,1.00,Peter Whitehead
Nicole Félix,1,1,1.00,François Truffaut
Nicole Stéphane,1,1,1.00,Jean-Pierre Melville
Nigel Davenport,1,1,1.00,Saul Bass
Nigel Patrick,1,1,1.00,Anthony Asquith
Nike Arrighi,1,1,1.00,Terence Fisher
Nikolai Batalov,1,1,1.00,Abram Room
Nikolai Kryuchkov,1,1,1.00,Grigori Chukhrai
Nikos Poursanidis,1,1,1.00,Theodoros Angelopoulos
Nina Chouvalova,1,1,1.00,Alberto Cavalcanti
Ninón Sevilla,1,1,1.00,Alberto Gout
Niusia Gold,1,1,1.00,Natan Gross
Noah Emmerich,1,1,1.00,Peter Weir
Nora Aunor,1,1,1.00,Ishmael Bernal
Norma Shearer,1,1,1.00,Ernst Lubitsch
Norman Foster,1,1,1.00,John Ford
Norman Kerry,1,1,1.00,Tod Browning
Noufou Ouédraogo,1,1,1.00,Idrissa Ouedraogo
Nuno Vaz,1,1,1.00,Pedro Costa
O. Baigal,1,1,1.00,I. Nyamgavaa
O.E. Hasse,1,1,1.00,Marcel Carné
Ofelia Medina,1,1,1.00,Paul Leduc
Oh Jung-hae,1,1,1.00,Im Kwon-taek
Ole Ernst,1,1,1.00,Lars von Trier
Oleg Borisov,1,1,1.00,Vladimir Vengerov
Oleg Men'shikov,1,1,1.00,Nikita Mikhalkov
Oleg Strizhenov,1,1,1.00,Grigori Chukhrai
Oleg Tabakov,1,1,1.00,Aleksandr Mitta
Olga Kurylenko,1,1,1.00,Xavier Gens
Olga Zhizneva,1,1,1.00,Abram Room
Olga Zubarry,1,1,1.00,Hugo Santiago
Oliver Johnston,1,1,1.00,Charles Chaplin
Olivia Hamnett,1,1,1.00,Peter Weir
Olivier Maltini,1,1,1.00,Luc Moullet
Olivier Rabourdin,1,1,1.00,Xavier Beauvois
Omero Antonutti,1,1,1.00,Paolo and Vittorio Taviani
Orlando Bloom,1,1,1.00,Gore Verbinski
Orpha Termin,1,1,1.00,Frank Ripploh
Osamu Takizawa,1,1,1.00,Kon Ichikawa
Otto Grünmandl,1,1,1.00,Michael Haneke
Otto Wernicke,1,1,1.00,Max Ophüls
Oumar Seck,1,1,1.00,Ababacar Samb-Makharam
Pablito Calvo,1,1,1.00,Ladislao Vajda
Pablo Cedron,1,1,1.00,Fabián Bielinsky
Paddy O'Byrne,1,1,1.00,Jamie Uys
Pádraic Delaney,1,1,1.00,Ken Loach
Pagano Sobrinho,1,1,1.00,Rogério Sganzerla
Pam Grier,1,1,1.00,Quentin Tarantino
Pan Hong,1,1,1.00,Lee Sun-fung
Pan-yong Yi,1,1,1.00,Yong-Kyun Bae
Pankaj Kapoor,1,1,1.00,Vishal Bharadwaj
Park Seong-hee,1,1,1.00,Kim Ki Duk
Pascal Greggory,1,1,1.00,Werner Schroeter
Pat Crowley,1,1,1.00,Frank Tashlin
Pat O'Brien,1,1,1.00,Frank Capra
Pat Shortt,1,1,1.00,Leonard Abrahamson
Patricia Barzyk,1,1,1.00,Manoel de Oliveira
Patrick Bruel,1,1,1.00,Dominique Cabrera
Patrick Swayze,1,1,1.00,Kathryn Bigelow
Patty Duke,1,1,1.00,Arthur Penn
Paul Blain,1,1,1.00,Mia Hansen-Løve
Paul Butler,1,1,1.00,Charles Burnett
Paul Cook,1,1,1.00,Julien Temple
Paul Dawson,1,1,1.00,John Cameron Mitchell
Paul Douglas,1,1,1.00,Fritz Lang
Paul Kermack,1,1,1.00,Bill Douglas
Paul Muni,1,1,1.00,Howard Hawks
Paul Reiser,1,1,1.00,James Cameron
Paul Reynolds,1,1,1.00,Derek Jarman
Paul Rogers,1,1,1.00,Haroun Tazieff
Paul Rudd,1,1,1.00,Adam McKay
Paul Williams,1,1,1.00,Brian De Palma
Paula Patton,1,1,1.00,Lee Daniels
Paula Prentiss,1,1,1.00,Howard Hawks
Paulette Lahaye,1,1,1.00,Jacques Doillon
Paulina Bilinskaya,1,1,1.00,Vsevolod Pudovkin
Paulo José,1,1,1.00,Joaquim Pedro de Andrade
Paulo Villaça,1,1,1.00,Rogério Sganzerla
Pavel Czekala,1,1,1.00,Quay Brothers
Pavel Liska,1,1,1.00,Jan Svankmajer
Pavel Nazarov,1,1,1.00,Vitali Kanevsky
Pedro Armendáriz,1,1,1.00,John Ford
Peggy Ashcroft,1,1,1.00,David Lean
Per Ragnar,1,1,1.00,Tomas Alfredson
Percy Marmont,1,1,1.00,Alfred Hitchcock
