film_id,title_raw,title_searchable,director_raw,director_searchable,year,country,genre,film_type,category,actors_raw,actors_searchable,alternate_titles_raw,alternate_titles_searchable
4ce2b7c96bad8,Sonatine,sonatine,Takeshi Kitano,takeshi kitano,1993,Japan,Gangster | Crime | Drama,Film,Fiction,Takeshi Kitano | Aya Kokumai | Tetsu Watanabe,takeshi kitano | aya kokumai | tetsu watanabe,Sonachine | ソナチネ,sonachine | ソナチネ
4ce2b7c96db19,MÙI DU DU XANH,mùi du du xanh,Trân Anh Hûng,tran anh hûng,1992,France,Drama,Film,Fiction,Trân Nû Yên Khê | Lu Man San | Truong Thi Lôc,tran nû yen khe | lu man san | truong thi loc,The SMELL OF THE GREEN PAPAYA | L' ODEUR DE LA PAPAYE VERTE | The SCENT OF GREEN PAPAYA | SWEET SMELL OF GREEN PAPAYA | The SCENT OF THE GREEN PAPAYA | MUI DU DU WANH,the smell of the green papaya | l' odeur de la papaye verte | the scent of green papaya | sweet smell of green papaya | the scent of the green papaya | mui du du wanh
4ce2b7c990947,LIBERA ME,libera me,,,1993,France,Drama,Film,Fiction,Annick Concha | Pierre Concha | Thierry Labelle,annick concha | pierre concha | thierry labelle,,
4ce2b7c99ed38,[Safe],[safe],Todd Haynes,todd haynes,1995,United Kingdom | USA,Drama,Film,Fiction,Julianne Moore | Peter Friedman | Xander Berkeley,julianne moore | peter friedman | xander berkeley,,
4ce2b7c9dae2a,Videograms of a Revolution,videograms of a revolution,Harun Farocki | Andrei Ujica,harun farocki | andrei ujica,1993,Germany,Documentary,Film,Non Fiction,,,VIDEOGRAMME EINER REVOLUTION | VIDEOGRAM OF A REVOLUTION,videogramme einer revolution | videogram of a revolution
4ce2b7cb0ad9a,Forrest Gump,forrest gump,Robert Zemeckis,robert zemeckis,1994,USA,Drama,Film,Fiction,Tom Hanks | Robin Wright Penn | Gary Sinise,tom hanks | robin wright penn | gary sinise,,
4ce2b7cb412c6,Blue,blue,Derek Jarman,derek jarman,1993,United Kingdom | Japan,Biopic | Artists' Moving Image,Film,Non Fiction,John Quentin | Nigel Terry | Derek Jarman,john quentin | nigel terry | derek jarman,Derek Jarman's Blue,derek jarman's blue
4ce2b7cb624b7,IL ÉTAIT UNE FOIS UN PAYS,il était une fois un pays,Emir Kusturica,emir kusturica,1995,France | Germany | Hungary,Comedy,Film,Fiction,Miki Manojlović | Laza Ristovski | Mirjana Jokovic,miki manojlović | laza ristovski | mirjana jokovic,PODRUM - DER KELLER | ES WAR EINMAL EIN LAND | PODZEMLJE - BILA JEDOM JEDNA ZEMLJA | UNDERGROUND | ONCE UPON A TIME THERE WAS A COUNTRY,podrum - der keller | es war einmal ein land | podzemlje - bila jedom jedna zemlja | underground | once upon a time there was a country
4ce2b7cb68c05,The Last Bolshevik,the last bolshevik,Chris Marker,chris marker,1993,Finland | France | United Kingdom,Documentary,Film,Non Fiction,Michael Pennington | Nikolai Izvolov | Kira Paramonova,michael pennington | nikolai izvolov | kira paramonova,Le TOMBEAU D'ALEXANDRE | VIIMEINEN BOLSHEVIKKI,le tombeau d'alexandre | viimeinen bolshevikki
4ce2b7cbd86e7,Lazybones,lazybones,Frank Borzage,frank borzage,1925,USA,Drama,Film,Fiction,Buck Jones | Madge Bellamy | Virginia Marshall,buck jones | madge bellamy | virginia marshall,,
