voter_id,raw_film_title,normed_film_title,searchable_film_title,film_director,film_director_searchable,film_year,film_id
999,Kuhle Wampe,Kuhle Wampe,kuhle wampe,Bertold Brecht/Ernst Ottwald,bertold brecht/ernst ottwald,1932,4ce2b6ae52369
999,"Arguments and a Story or Reason, Debate and a Tale","Arguments and a Story or Reason, Debate and a Tale","arguments and a story or reason, debate and a tale",Ritwik Ghatak,ritwik ghatak,1974,4ce2b732a9e56
999,Shiranui Sea,Shiranui Sea,shiranui sea,Tsuchimoto Noriaki,tsuchimoto noriaki,,10041
999,Story of Kindness,Story of Kindness,story of kindness,Tran Van Thuy,tran van thuy,1985,4ce2b7b656c2d
999,"West Indies, ou les nègres marrons de la liberté","West Indies, ou les nègres marrons de la liberté","west indies, ou les negres marrons de la liberte",Med Hondo,med hondo,1979,4ce2b787b6482
376,All That Heaven Allows,All That Heaven Allows,all that heaven allows,Douglas Sirk,douglas sirk,1955,4ce2b6ab46fea
376,Citizen Kane,Citizen Kane,citizen kane,Orson Welles,orson welles,1941,4ce2b6a7a801b
376,"Dead, The",The Dead,the dead,John Huston,john huston,1987,4ce2b7093f572
376,Letter From an Unknown Woman,Letter From an Unknown Woman,letter from an unknown woman,Max Ophüls,max ophuls,1948,4ce2b6aec1d37
376,Man with a Movie Camera,Man with a Movie Camera,man with a movie camera,Dziga Vertov,dziga vertov,1929,4ce2b6a21d217
376,Million Dollar Baby,Million Dollar Baby,million dollar baby,Clint Eastwood,clint eastwood,2004,4ce2b8a8d0785
376,"Paris, Texas","Paris, Texas","paris, texas",Wim Wenders,wim wenders,1984,4ce2b69592ecf
376,"Quiet Man, The",The Quiet Man,the quiet man,John Ford,john ford,1952,4ce2b6b3c5012
376,"Searchers, The",The Searchers,the searchers,John Ford,john ford,1956,4ce2b6b54abdf
376,Splendor in the Grass,Splendor in the Grass,splendor in the grass,Elia Kazan,elia kazan,1961,4ce2b6b70d4ac
768,All About My Mother,All About My Mother,all about my mother,Pedro Almodóvar,pedro almodovar,1999,4ce2b81b9d18e
768,"Apartment, The",The Apartment,the apartment,Billy Wilder,billy wilder,1960,4ce2b6c010eb7
768,Breathless,Breathless,breathless,Jean-Luc Godard,jean-luc godard,1960,4ce2b6bfd1ebb
768,Citizen Kane,Citizen Kane,citizen kane,Orson Welles,orson welles,1941,4ce2b6a7a801b
768,"Discreet Charm of the Bourgeoisie, The",The Discreet Charm of the Bourgeoisie,the discreet charm of the bourgeoisie,Luis Buñuel,luis bunuel,1972,4ce2b6a76bf31
768,Five Easy Pieces,Five Easy Pieces,five easy pieces,Bob Rafelson,bob rafelson,1970,4ce2b6aa3733f
768,Modern Times,Modern Times,modern times,Charles Chaplin,charles chaplin,1936,4ce2b6bbbf1e2
768,North by Northwest,North by Northwest,north by northwest,Alfred Hitchcock,alfred hitchcock,1959,4ce2b6bf4e912
768,"Passenger, The",The Passenger,the passenger,Michelangelo Antonioni,michelangelo antonioni,1974,4ce2b6b392e27
768,Singin' in the Rain,Singin' in the Rain,singin' in the rain,Stanley Donen/Gene Kelly,stanley donen/gene kelly,1951,4ce2b6b6036b6
130,Accattone,Accattone,accattone,Pier Paolo Pasolini,pier paolo pasolini,1961,4ce2b6bfaa639
130,Barry Lyndon,Barry Lyndon,barry lyndon,Stanley Kubrick,stanley kubrick,1975,4ce2b6bc285f7
130,"Godfather: Part II, The",The Godfather: Part II,the godfather: part ii,Francis Ford Coppola,francis ford coppola,1974,4ce2b6ab42667
130,Groundhog Day,Groundhog Day,groundhog day,Harold Ramis,harold ramis,1993,4ce2b7b9b17db
130,McCabe and Mrs Miller,McCabe and Mrs Miller,mccabe and mrs miller,Robert Altman,robert altman,1971,4ce2b6af6e08b
130,"Palm Beach Story, The",The Palm Beach Story,the palm beach story,Preston Sturges,preston sturges,1942,4ce2b6b28404d
130,Safe,Safe,safe,Todd Haynes,todd haynes,1994,4ce2b7c99ed38
130,"Thin Red Line, The",The Thin Red Line,the thin red line,Terrence Malick,terrence malick,1998,4ce2b8021b76d
130,Thirty-Two Short Films About Glenn Gould,Thirty-Two Short Films About Glenn Gould,thirty-two short films about glenn gould,François Girard,francois girard,1993,4ce2b7ccbe34e
130,Touki Bouki,Touki Bouki,touki bouki,Djibril Diop Mambéty,djibril diop mambety,1973,4ce2b77b4418a
507,Blade Runner,Blade Runner,blade runner,Ridley Scott,ridley scott,1982,4ce2b69ac89d8
507,"Chant d'amour, Un",Un Chant d'amour,un chant d'amour,Jean Genet,jean genet,1950,4ce2b6fec6e4f
507,"dolce vita, La",La dolce vita,la dolce vita,Federico Fellini,federico fellini,1960,4ce2b6a90d39d
507,"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!","faster, pussycat! kill! kill!",Russ Meyer,russ meyer,1966,4ce2b71608532
507,Jaws,Jaws,jaws,Steven Spielberg,steven spielberg,1975,4ce2b6ad82ff5
507,Passion of Joan of Arc,Passion of Joan of Arc,passion of joan of arc,Carl Theodor Dreyer,carl theodor dreyer,1927,4ce2b754db651
507,Rear Window,Rear Window,rear window,Alfred Hitchcock,alfred hitchcock,1954,4ce2b6955c6ba
507,"Sound of Music, The",The Sound of Music,the sound of music,Robert Wise,robert wise,1965,4ce2b6b68d44c
507,Taxi Driver,Taxi Driver,taxi driver,Martin Scorsese,martin scorsese,1976,4ce2b6b7bc1b8
507,"Third Man, The",The Third Man,the third man,Carol Reed,carol reed,1949,4ce2b6b824610
73,"""Diary""","""Diary""","""diary""",David Perlov,david perlov,,10042
73,"argent, L'",L'argent,l'argent,Robert Bresson,robert bresson,1983,4ce2b6edeeb13
73,Fear Eats the Soul,Fear Eats the Soul,fear eats the soul,Rainer Werner Fassbinder,rainer werner fassbinder,1974,4ce2b6bfdd960
73,I Even Met Happy Gypsies,I Even Met Happy Gypsies,i even met happy gypsies,Aleksandr Petrovic,aleksandr petrovic,1967,4ce2b6b62419c
73,Jules et Jim,Jules et Jim,jules et jim,François Truffaut,francois truffaut,1962,4ce2b6adb948c
73,"Oak, The",The Oak,the oak,Lucian Pintilie,lucian pintilie,1992,4ce2b7bd6bdbc
73,Reconstruction,Reconstruction,reconstruction,Lucian Pintilie,lucian pintilie,1968,4ce2b75fe2a9d
73,Salvatore Giuliano,Salvatore Giuliano,salvatore giuliano,Francesco Rosi,francesco rosi,1962,4ce2b6b4ef7fb
73,Sicilia!,Sicilia!,sicilia!,Jean-Marie Straub/Danièle Huillet,jean-marie straub/daniele huillet,1998,4ce2b8153ced0
73,Touki Bouki,Touki Bouki,touki bouki,Djibril Diop Mambéty,djibril diop mambety,1973,4ce2b77b4418a
1,Anna and the Wolves,Anna and the Wolves,anna and the wolves,Carlos Saura,carlos saura,1972,4ce2b6ebeb664
1,"Birds, Orphans and Fools","Birds, Orphans and Fools","birds, orphans and fools",Juraj Jakubisko,juraj jakubisko,1970,4ce2b75d39e3b
1,Blow Up,Blow Up,blow up,Michelangelo Antonioni,michelangelo antonioni,1966,4ce2b6f695fc4
1,Breaking the Waves,Breaking the Waves,breaking the waves,Lars von Trier,lars von trier,1996,4ce2b7e2b963d
1,"Leopard, The",The Leopard,the leopard,Luchino Visconti,luchino visconti,1963,4ce2b6aadb03d
1,Marketa Lazarová,Marketa Lazarová,marketa lazarova,Frantisek Vlácil,frantisek vlacil,1967,4ce2b740d3924
1,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,one flew over the cuckoo's nest,Milos Forman,milos forman,1975,4ce2b6b218cee
1,Pierrot le Fou,Pierrot le Fou,pierrot le fou,Jean-Luc Godard,jean-luc godard,1965,4ce2b6b310bc0
1,"Seventh Seal, The",The Seventh Seal,the seventh seal,Ingmar Bergman,ingmar bergman,1957,4ce2b6b61b4e8
1,Stalker,Stalker,stalker,Andrei Tarkovsky,andrei tarkovsky,1979,4ce2b6bf3bbfd
1101,"400 Blows, The",The 400 Blows,the 400 blows,François Truffaut,francois truffaut,1959,4ce2b6b3b75b7
1101,Amarcord,Amarcord,amarcord,Federico Fellini,federico fellini,1972,4ce2b6b4b0e0c
1101,Apocalypse Now,Apocalypse Now,apocalypse now,Francis Ford Coppola,francis ford coppola,1979,4ce2b69562aa2
1101,"Bicycle Thieves, The",The Bicycle Thieves,the bicycle thieves,Vittorio de Sica,vittorio de sica,1948,4ce2b6ae61fec
1101,Close-Up,Close-Up,close-up,Abbas Kiarostami,abbas kiarostami,1989,4ce2b7a39630e
1101,Hero: The Official Film of the 1986 FIFA World Cup,Hero: The Official Film of the 1986 FIFA World Cup,hero: the official film of the 1986 fifa world cup,Tony Maylam,tony maylam,1986,4ce2b725b82be
1101,High Noon,High Noon,high noon,Fred Zinemann,fred zinemann,1952,4ce2b6ac49313
1101,Modern Times,Modern Times,modern times,Charles Chaplin,charles chaplin,1936,4ce2b6bbbf1e2
1101,Rear Window,Rear Window,rear window,Alfred Hitchcock,alfred hitchcock,1954,4ce2b6955c6ba
1101,Rosetta,Rosetta,rosetta,Jean-Pierre Dardenne/Luc Dardenne,jean-pierre dardenne/luc dardenne,1999,4ce2b82b6b26b
861,"argent, L'",L'argent,l'argent,Robert Bresson,robert bresson,1983,4ce2b6edeeb13
861,Germany Year Zero,Germany Year Zero,germany year zero,Roberto Rossellini,roberto rossellini,1948,4ce2b6ab01897
861,"mépris, Le",Le mépris,le mepris,Jean-Luc Godard,jean-luc godard,1963,4ce2b6b049967
861,"Misfits, The",The Misfits,the misfits,John Huston,john huston,1961,4ce2b6b086e20
861,"Music Room, The",The Music Room,the music room,Satyajit Ray,satyajit ray,1958,4ce2b6ad7b33b
861,One from the Heart,One from the Heart,one from the heart,Francis Ford Coppola,francis ford coppola,1982,4ce2b6e13bb25
861,"Quiet Man, The",The Quiet Man,the quiet man,John Ford,john ford,1952,4ce2b6b3c5012
861,"Salo, or The 120 Days of Sodom","Salo, or The 120 Days of Sodom","salo, or the 120 days of sodom",Pier Paolo Pasolini,pier paolo pasolini,1975,4ce2b6b4ead96
861,Shock Corridor,Shock Corridor,shock corridor,Samuel Fuller,samuel fuller,1963,4ce2b6b5bfaab
861,"Wild Child, The",The Wild Child,the wild child,François Truffaut,francois truffaut,1969,4ce2b6a9833a2
448,Black Girl,Black Girl,black girl,Ousmane Sembene,ousmane sembene,1965,4ce2b6b1a3be1
448,Daratt,Daratt,daratt,Mahamat-Saleh Haroun,mahamat-saleh haroun,2006,4ce2b8b9bf0a9
448,"Last Supper, The",The Last Supper,the last supper,Tomás Gutiérrez Alea,tomas gutierrez alea,1976,4ce2b77f75021
448,Lucía,Lucía,lucia,Humberto Solás,humberto solas,1969,4ce2b6af56337
448,Lumumba,Lumumba,lumumba,Raoul Peck,raoul peck,2000,4ce2b82851832
448,Shadows,Shadows,shadows,John Cassavetes,john cassavetes,1959,4ce2b6b5991f4
448,"Silences of the Palace, The",The Silences of the Palace,the silences of the palace,Moufida Tlatli,moufida tlatli,1994,4ce2b7d2abfbc
448,Touki Bouki,Touki Bouki,touki bouki,Djibril Diop Mambéty,djibril diop mambety,1973,4ce2b77b4418a
448,Tristana,Tristana,tristana,Luis Buñuel,luis bunuel,1970,4ce2b6b90075a
448,Waiting for Happiness,Waiting for Happiness,waiting for happiness,Abderrahmane Sissako,abderrahmane sissako,2002,4ce2b880223d5
797,Apocalypse Now,Apocalypse Now,apocalypse now,Francis Ford Coppola,francis ford coppola,1979,4ce2b69562aa2
797,"Best Years of Our Lives, The",The Best Years of Our Lives,the best years of our lives,William Wyler,william wyler,1946,4ce2b6bf4befa
797,Brief Encounter,Brief Encounter,brief encounter,David Lean,david lean,1945,4ce2b6a66b375
797,City Lights,City Lights,city lights,Charles Chaplin,charles chaplin,1931,4ce2b6bbb8e51
797,"Godfather: Part I, The",The Godfather: Part I,the godfather: part i,Francis Ford Coppola,francis ford coppola,1972,4ce2b6ab4237b
797,Once Upon a Time in the West,Once Upon a Time in the West,once upon a time in the west,Sergio Leone,sergio leone,1968,4ce2b6a754af6
797,Passion of Joan of Arc,Passion of Joan of Arc,passion of joan of arc,Carl Theodor Dreyer,carl theodor dreyer,1927,4ce2b754db651
797,"Règle du jeu, La",La Règle du jeu,la regle du jeu,Jean Renoir,jean renoir,1939,4ce2b6b41d658
