film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6b4cbeea,1,Ryan's Daughter,David Lean,1970,United Kingdom,Drama,Film,Robert Mitchum | Trevor Howard | Christopher Jones
4ce2b79c0becb,1,Dreams of Hind and Camilia,Mohammed Khan,1988,Egypt,Drama,Film,Naglaa Fathi | Aida Riyadh | Ahmed Zaki
4ce2b6a754af6,1,Once Upon a Time in the West,Sergio Leone,1968,Italy | USA,Western,Film,Claudia Cardinale | Henry Fonda | Jason Robards
4ce2b6bc237b8,1,Bad Timing,Nicolas Roeg,1980,United Kingdom,Romance | Drama,Film,Art Garfunkel | Theresa Russell | Harvey Keitel
4ce2b779dd367,1,To Be or Not To Be,Ernst Lubitsch,1942,USA,Comedy | War,Film,Carole Lombard | Jack Benny | Robert Stack
4ce2b8a8cb162,1,Brokeback Mountain,Ang Lee,2005,Canada | USA,Western | Romance,Film,Heath Ledger | Jake Gyllenhaal | Linda Cardellini
4ce2b6bb5649f,1,Eyes Without a Face,Georges Franju,1960,France | Italy,Horror | Medical drama,Film,Pierre Brasseur | Alida Valli | Juliette Mayniel
4ce2b6fccbdae,1,Christine,Julien Duvivier,1937,France,Drama,Film,Marie Bell | Maurice Bernard | Françoise Rosay
4ce2b8b181b6e,1,The Death of Mr Lazarescu,Cristi Puiu,2005,Romania,Comedy | Drama,Film,Ion Fiscuteanu | Luminita Gheorghiu | Doru Ana
4ce2b6b346033,1,Ashes and Diamonds,Andrzej Wajda,1958,Poland,War,Film,Ewa Krzyzanowska | Waclaw Zastrzezynski | Adam Pawlikowski
4ce2b6b94f5ad,1,Floating Clouds,Naruse Mikio,1955,Japan,Drama,Film,Hideko Takamine | Masayuki Mori | Mariko Okada
