film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6ea27f4e,1,Alice Doesn't Live Here Anymore,Martin Scorsese,1974,USA,Romance | Drama,Film,Mia Bendixsen | Ellen Burstyn | Alfred Lutter
4ce2b6ea3947f,1,Aliens,James Cameron,1986,United Kingdom | USA,Horror | Science Fiction,Film,Sigourney Weaver | Michael Biehn | Paul Reiser
4ce2b6eadf87b,1,Alphaville,Jean-Luc Godard,1965,France | Italy,Detective drama | Science Fiction,Film,Eddie Constantine | Anna Karina | Akim Tamiroff
4ce2b6ebc29c0,1,L'Amour existe,Maurice Pialat,1960,France,Documentary,Film,Jean-Loup Reinhold
4ce2b6ebe5b16,1,Anatomy of a Relationship,Luc Moullet/Antonietta Pizzorno,1976,France,,Film,Luc Moullet | Christine Hébert | Antonietta Pizzorno
4ce2b6ebeb664,1,Anna and the Wolves,Carlos Saura,1972,Spain,Drama,Film,Geraldine Chaplin | Fernando Fernán Gómez | José Maria Prada
4ce2b6ec52525,1,Angèle,Marcel Pagnol,1934,France,Drama,Film,Orane Demazis | Jean Servais | Henri Poupon
4ce2b6ecc6133,1,La Captive,Chantal Akerman,1983,Belgium | Switzerland | France,Documentary,Film,Aisha Bentebouche | Francesca Best | Warre Borgmans
4ce2b6eda20b4,1,Arcana,Giulio Questi,1972,Italy,,Film,Lucia Bosè | Maurizio Degli Esposti | Tina Aumont
4ce2b6a4f00fc,1,Begone Dull Care,Evelyn Lambart/Norman McLaren,1949,Canada,Animation,Film,
4ce2b6a4e46d5,1,Becky Sharp,Rouben Mamoulian,1935,USA,Period drama,Film,Miriam Hopkins | Frances Dee | Cedric Hardwicke
4ce2b6a4a18d6,1,The African Queen,John Huston,1951,United Kingdom | USA,War,Film,Humphrey Bogart | Katharine Hepburn | Robert Morley
4ce2b8cdefe75,1,Departures,Yôjirô Takita,2008,Japan,Drama,Film,Masahiro Motoki | Ryoko Hirosue | Tsutomu Yamazaki
4ce2b6ee7ae68,1,Artists under the Big Top: Perplexed,Alexander Kluge,1968,Federal Republic of Germany,Drama,Film,Alexandra Kluge | Hannelore Hoger | Herr Hollenbeck
4ce2b6eeb131f,1,Lift to the Scaffold,Louis Malle,1958,France,Crime,Film,Jeanne Moreau | Maurice Ronet | Georges Poujouly
