film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6b90d54d,2,Trouble in Paradise,Ernst Lubitsch,1932,USA,Comedy | Crime,Film,Miriam Hopkins | Kay Francis | Herbert Marshall
4ce2b79d4d9b9,2,The Killer,John Woo,1989,Hong Kong,Crime | Thriller,Film,Chow Yun-fat | Danny Lee Sau-yin | Sally Yeh
4ce2b78292f14,2,The Gospel According to St Matthew,Pier Paolo Pasolini,1964,France | Italy,Biopic,Film,Enrique Irazoqui | Margherita Caruso | Susanna Pasolini
4ce2b8bf3c780,2,Hurt Locker,Kathryn Bigelow,2008,USA,War,Film,Jeremy Renner | Anthony Mackie | Brian Geraghty
4ce2b79ec3b22,2,The Green Ray,Eric Rohmer,1986,France,Romance | Drama,Film,Marie Rivière | Amira Chemakhi | Sylvie Richez
4ce2b7453b195,2,Les Misérables,Albert Capellani,1912,France,Drama,Film,Henry Krauss | J.P. Etievant | M. Bernard
4ce2b6ad684f4,2,Ivan the Terrible,Sergei M Eisenstein,1945,USSR,Biopic | Historical drama,Film,Nikolai Cherkasov | Ludmila Tselikovskaya | Serafima Birman
4ce2b7c595cb0,2,Farewell My Concubine,Chen Kaige,1993,People's Republic of China | Hong Kong,Romance | Drama,Film,Leslie Cheung Kwok-wing | Zhang Fengyi | Gong Li
4ce2b7827d1aa,2,Going Places,Bertrand Blier,1974,France,Comedy | Crime,Film,Gérard Depardieu | Miou-Miou | Patrick Dewaere
4ce2b7b4c238b,2,Days of Being Wild,Wong Kar Wai,1990,Hong Kong,Drama,Film,Leslie Cheung Kwok-wing | Maggie Cheung Man-yuk | Andy Lau Tak-wah
4ce2b7b9b17db,2,Groundhog Day,Harold Ramis,1993,USA,Comedy | Romance | Fantasy,Film,Bill Murray | Andie MacDowell | Chris Elliott
4ce2b6ab5808b,2,Gone with the Wind,Victor Fleming,1939,USA,Romance | Period drama,Film,Thomas Mitchell | Barbara O'Neil | Vivien Leigh
4ce2b6b416034,2,Red River,Howard Hawks/Arthur Rosson,1947,USA,Western,Film,John Wayne | Montgomery Clift | Joanne Dru
4ce2b89a9ee7b,2,"Spring, Summer, Fall, Winter and Spring…",Kim Ki-Duk,2003,"Germany | Korea, Republic of",Drama,Film,Oh Young | Kim Ki-deok | Kim Young-min
