djordje-bajic,Djordje Bajić,djordje bajić,critic,Serbia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/djordje-bajic
imruh-bakari,Imruh Bakari,imruh bakari,director,Saint Kitts and Nevis/UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/imruh-bakari
robin-baker,Robin Baker,robin baker,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/robin-baker
rose-baker,Rose Baker,rose baker,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/rose-baker
miriam-balanescu,Miriam Balanescu,miriam balanescu,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/miriam-balanescu
jessica-balanzategui,Jessica Balanzategui,jessica balanzategui,critic,Australia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jessica-balanzategui
miriam-bale,Miriam Bale,miriam bale,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/miriam-bale
karan-bali,Karan Bali,karan bali,critic,India,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/karan-bali
cesar-ballester,César Ballester,cesar ballester,critic,Spain/UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/cesar-ballester
james-balmont,James Balmont,james balmont,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/james-balmont
erika-balsom,Erika Balsom,erika balsom,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/erika-balsom
upekha-bandaranayake,Upekha Bandaranayake,upekha bandaranayake,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/upekha-bandaranayake
vasco-baptista-marques,Vasco Baptista Marques,vasco baptista marques,critic,Portugal,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/vasco-baptista-marques
nicolas-barbano,Nicolas Barbano,nicolas barbano,critic,Denmark,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nicolas-barbano
grace-barber-plentie,Grace Barber-Plentie,grace barber-plentie,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/grace-barber-plentie
rebecca-barden,Rebecca Barden,rebecca barden,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/rebecca-barden
janet-baris,Janet Baris,janet baris,critic,Turkey,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/janet-baris
luciano-barisone,Luciano Barisone,luciano barisone,critic,Switzerland/Italy,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/luciano-barisone
jason-barker,Jason Barker,jason barker,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jason-barker
jennifer-lynde-barker,Jennifer Lynde Barker,jennifer lynde barker,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jennifer-lynde-barker
clio-barnard,Clio Barnard,clio barnard,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/clio-barnard
henry-barnes,Henry Barnes,henry barnes,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/henry-barnes
juan-barquin,Juan Barquin,juan barquin,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/juan-barquin
charles-barr,Charles Barr,charles barr,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/charles-barr
alex-barrett,Alex Barrett,alex barrett,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/alex-barrett
matthew-anthony-barrington,Matthew Anthony Barrington,matthew anthony barrington,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/matthew-anthony-barrington
cecilia-barrionuevo,Cecilia Barrionuevo,cecilia barrionuevo,critic,Argentina,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/cecilia-barrionuevo
steve-barron,Steve Barron,steve barron,director,United Kingdom,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/steve-barron
