margit-adorf,freelancer film critic,10,Fear and Loathing in Las Vegas,fear and loathing in las vegas,1998,Terry Gilliam,terry gilliam
margit-adorf,freelancer film critic,10,The Cell,the cell,2000,Tarsem Singh,tarsem singh
margit-adorf,freelancer film critic,10,Never Let Me Go,never let me go,2010,Mark Romanek,mark romanek
kaleem-aftab,Critic / Programmer,10,The Apartment,the apartment,1960,Billy Wilder,billy wilder
kaleem-aftab,Critic / Programmer,10,Bamboozled,bamboozled,2000,Spike Lee,spike lee
kaleem-aftab,Critic / Programmer,10,La Haine,la haine,1995,Mathieu Kassovitz,mathieu kassovitz
kaleem-aftab,Critic / Programmer,10,Get Out,get out,2017,Jordan Peele,jordan peele
kaleem-aftab,Critic / Programmer,10,Gegen Die Wand,gegen die wand,2003,Fatih Akin,fatih akin
kaleem-aftab,Critic / Programmer,10,Mandabi,mandabi,1968,Ousmane Sembène,ousmane sembene
kaleem-aftab,Critic / Programmer,10,Pretty in Pink,pretty in pink,1986,Howard Deutch,howard deutch
kaleem-aftab,Critic / Programmer,10,Wajib,wajib,2017,Annemarie Jacir,annemarie jacir
kaleem-aftab,Critic / Programmer,10,Zabriskie Point,zabriskie point,1970,Michelangelo Antonioni,michelangelo antonioni
kaleem-aftab,Critic / Programmer,10,No,no,2012,Pablo Larraín,pablo larrain
manish-agarwal,Edinburgh International Film Festival programmer,9,Chungking Express,chungking express,1994,Wong Kar Wai,wong kar wai
manish-agarwal,Edinburgh International Film Festival programmer,9,Point Break,point break,1991,Kathryn Bigelow,kathryn bigelow
manish-agarwal,Edinburgh International Film Festival programmer,9,Do the Right Thing,do the right thing,1989,Spike Lee,spike lee
manish-agarwal,Edinburgh International Film Festival programmer,9,The Piano,the piano,1992,Jane Campion,jane campion
manish-agarwal,Edinburgh International Film Festival programmer,9,Spirited Away,spirited away,2001,Hayao Miyazaki,hayao miyazaki
manish-agarwal,Edinburgh International Film Festival programmer,9,Wo Hu Zang Long,wo hu zang long,2000,Ang Lee,ang lee
manish-agarwal,Edinburgh International Film Festival programmer,9,The Matrix,the matrix,1999,The Wachowskis,the wachowskis
manish-agarwal,Edinburgh International Film Festival programmer,9,Halloween,halloween,1978,John Carpenter,john carpenter
manish-agarwal,Edinburgh International Film Festival programmer,9,"Paris, Texas","paris, texas",1984,Wim Wenders,wim wenders
carlos-aguilar,Film Critic ,10,Enamorada,enamorada,1946,Emilio Fernández,emilio fernandez
carlos-aguilar,Film Critic ,10,Los olvidados,los olvidados,1950,Luis Buñuel,luis bunuel
carlos-aguilar,Film Critic ,10,Macario,macario,1960,Roberto Gavaldón,roberto gavaldon
carlos-aguilar,Film Critic ,10,Canoa,canoa,1976,Felipe Cazals,felipe cazals
carlos-aguilar,Film Critic ,10,El LUGAR SIN LIMITES,el lugar sin limites,1978,Arturo Ripstein,arturo ripstein
carlos-aguilar,Film Critic ,10,Spirited Away,spirited away,2001,Hayao Miyazaki,hayao miyazaki
carlos-aguilar,Film Critic ,10,A Separation,a separation,2011,Asghar Farhadi,asghar farhadi
carlos-aguilar,Film Critic ,10,The Tree of Life,the tree of life,2010,Terrence Malick,terrence malick
carlos-aguilar,Film Critic ,10,The Tale of the Princess Kaguya,the tale of the princess kaguya,2013,Isao Takahata,isao takahata
carlos-aguilar,Film Critic ,10,Portrait of a Lady on Fire,portrait of a lady on fire,2019,Céline Sciamma,celine sciamma
khadar-ayderus-ahmed,Director,10,Yojimbo,yojimbo,1961,Akira Kurosawa,akira kurosawa
khadar-ayderus-ahmed,Director,10,Central Do Brasil,central do brasil,1998,Walter Salles,walter salles
khadar-ayderus-ahmed,Director,10,In the Mood for Love,in the mood for love,2000,Wong Kar Wai,wong kar wai
khadar-ayderus-ahmed,Director,10,Timbuktu,timbuktu,2014,Abderrahmane Sissako,abderrahmane sissako
khadar-ayderus-ahmed,Director,10,Moonlight,moonlight,2016,Barry Jenkins,barry jenkins
khadar-ayderus-ahmed,Director,10,Fire,fire,1996,Deepa Mehta,deepa mehta
khadar-ayderus-ahmed,Director,10,Un homme qui crie,un homme qui crie,2010,Mahamat-Saleh Haroun,mahamat-saleh haroun
khadar-ayderus-ahmed,Director,10,Do the Right Thing,do the right thing,1989,Spike Lee,spike lee
